agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,final_goal_error,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,30,143588,0,timeout,-0.9999,5000,-1,16.0427,16.0148,0.0017,16.0148,-4.8904,1.0000,4.4094,-4.8904,0.3750,4.4094,10.5000,-0.0300,0.0000
Agent,31,148588,0,timeout,-0.9999,5000,-1,7.0352,13.1609,-0.8707,13.1609,3.5898,1.0000,-0.8262,-2.6162,0.3750,-1.0059,10.5000,-0.0300,0.0000
Agent,32,153588,0,timeout,-0.9999,5000,-1,6.4382,15.2116,-1.3627,15.2116,-3.2601,1.0000,-5.0446,-9.7465,0.3750,1.1720,0.0000,-0.0300,-10.5000
Agent,33,158588,0,timeout,-0.9999,5000,-1,15.9351,14.4472,0.0934,14.4472,2.6817,1.0000,5.1740,6.8829,0.3750,2.1957,0.0000,-0.0300,-10.5000
Agent,34,163588,0,timeout,-0.9999,5000,-1,9.4128,14.5176,-0.5423,14.5176,-4.5670,1.0000,2.3341,-9.4494,0.3750,-0.5138,0.0000,-0.0300,10.5000
Agent,35,168588,0,timeout,-0.9999,5000,-1,12.9875,13.1848,-0.0152,13.1848,5.0327,1.0000,-1.4284,6.6844,0.3750,-0.8576,0.0000,-0.0300,10.5000
Agent,36,173588,0,timeout,-0.9999,5000,-1,11.4994,11.2872,0.0185,11.2872,-0.0360,1.0000,-4.4909,0.7228,0.3750,-5.6253,10.5000,-0.0300,0.0000
Agent,37,178588,0,timeout,-0.9999,5000,-1,12.0212,10.6427,0.1147,10.6427,1.2886,1.0000,-2.1160,-0.8033,0.3750,-4.3677,-10.5000,-0.0300,0.0000
Agent,38,183588,0,timeout,-0.9999,5000,-1,13.9287,13.9295,-0.0001,13.9295,5.2726,1.0000,2.3509,6.7484,0.3750,1.6788,0.0000,-0.0300,-10.5000
Agent,39,188588,0,timeout,-0.9999,5000,-1,12.7205,13.4604,-0.0582,13.4604,-1.9574,1.0000,-2.0268,12.1264,0.3750,4.6717,0.0000,-0.0300,10.5000
Agent,40,193588,0,timeout,-0.9999,5000,-1,16.4864,16.6285,-0.0086,16.6285,-2.9490,1.0000,-5.6877,-2.8943,0.3750,-5.8697,0.0000,-0.0300,10.5000
Agent,41,198588,0,timeout,-0.9999,5000,-1,14.7680,16.9588,-0.1483,16.9588,4.1322,1.0000,1.7118,4.8774,0.3750,7.1393,-10.5000,-0.0300,0.0000
Agent,42,203588,0,timeout,-0.9999,5000,-1,14.6242,14.5935,0.0021,14.5935,-3.8553,1.0000,2.5945,-3.8553,0.3750,2.5945,10.5000,-0.0300,0.0000
Agent,43,208588,0,timeout,-0.9999,5000,-1,6.3289,7.9042,-0.2489,7.9042,5.5081,1.0000,3.7516,4.2858,0.3750,4.8678,10.5000,-0.0300,0.0000
Agent,44,213588,0,timeout,-0.9999,5000,-1,9.2490,12.0509,-0.3029,12.0509,-3.2608,1.0000,5.6636,0.1810,0.3750,5.5657,-10.5000,-0.0300,0.0000
Agent,45,218588,0,timeout,-0.9999,5000,-1,8.9358,12.4970,-0.3985,12.4970,-3.9425,1.0000,2.5475,-12.1258,0.3750,7.5042,0.0000,-0.0300,10.5000
Agent,46,223588,0,timeout,-0.9999,5000,-1,5.9841,8.7233,-0.4578,8.7233,2.4118,1.0000,5.1212,4.4123,0.3750,2.9857,0.0000,-0.0300,10.5000
Agent,47,228588,0,timeout,-0.9999,5000,-1,13.4531,16.5553,-0.2306,16.5553,3.2787,1.0000,-2.5067,3.4707,0.3750,-5.6823,0.0000,-0.0300,10.5000
Agent,48,233588,0,timeout,-0.9999,5000,-1,15.7381,15.3874,0.0223,15.3874,5.1758,1.0000,-4.3269,3.8156,0.3750,-4.4014,0.0000,-0.0300,10.5000
Agent,49,238085,1,goal,4.1006,4497,4497,15.1189,6.0092,0.6025,6.0092,-0.0503,1.0000,-4.5836,-5.4434,0.3750,7.9870,0.0000,-0.0300,10.5000
Agent,50,243085,0,timeout,-0.9999,5000,-1,11.9392,12.9531,-0.0849,12.9531,1.2511,1.0000,-1.8426,2.4446,0.3750,0.2354,-10.5000,-0.0300,0.0000
Agent,51,248085,0,timeout,-0.9999,5000,-1,13.9594,13.9272,0.0023,13.9272,-4.0231,1.0000,-2.8273,-4.0231,0.3750,-2.8273,0.0000,-0.0300,10.5000
Agent,52,253085,0,timeout,-0.9999,5000,-1,13.6608,20.9192,-0.5313,20.9192,2.1027,1.0000,5.1699,8.4760,0.3750,8.7954,-10.5000,-0.0300,0.0000
Agent,53,258085,0,timeout,-0.9999,5000,-1,12.5119,12.4760,0.0029,12.4760,-2.3897,1.0000,-1.7383,-2.3897,0.3750,-1.7383,0.0000,-0.0300,10.5000
Agent,54,263085,0,timeout,-0.9999,5000,-1,7.6074,16.6715,-1.1915,16.6715,3.9483,1.0000,4.0795,11.6154,0.3750,-1.4524,0.0000,-0.0300,10.5000
Agent,55,268085,0,timeout,-0.9999,5000,-1,9.0707,9.2823,-0.0233,9.2823,-5.0077,1.0000,3.0073,-3.1170,0.3750,1.7661,0.0000,-0.0300,10.5000
Agent,56,273085,0,timeout,-0.9999,5000,-1,7.4760,10.5644,-0.4131,10.5644,-3.1118,1.0000,0.4946,-0.1523,0.3750,2.0903,-10.5000,-0.0300,0.0000
Agent,57,273705,1,goal,4.8760,620,620,12.2268,6.8852,0.4369,6.8852,-1.5760,1.0000,-1.6138,7.9839,0.3750,6.3961,10.5000,-0.0300,0.0000
Agent,58,278705,0,timeout,-0.9999,5000,-1,9.8907,11.1118,-0.1235,11.1118,2.3460,1.0000,-5.5024,4.9920,0.3750,-9.6421,10.5000,-0.0300,0.0000
Agent,59,283705,0,timeout,-0.9999,5000,-1,14.2317,14.8924,-0.0464,14.8924,-2.6353,1.0000,5.3800,-3.1298,0.3750,5.9872,10.5000,-0.0300,0.0000
Agent,60,285661,1,goal,4.6088,1956,1956,9.8686,6.1014,0.3817,6.1014,-0.7432,1.0000,-1.0648,-7.9959,0.3750,5.5491,-10.5000,-0.0300,0.0000
Agent,61,290661,0,timeout,-0.9999,5000,-1,6.8360,9.3301,-0.3648,9.3301,3.9937,1.0000,1.8270,1.2112,0.3750,-0.7777,10.5000,-0.0300,0.0000
Agent,62,295661,0,timeout,-0.9999,5000,-1,8.2040,23.6768,-1.8860,23.6768,-4.3864,1.0000,-3.6441,-6.9630,0.3750,12.1262,0.0000,-0.0300,-10.5000
Agent,63,298202,1,goal,4.4918,2541,2541,9.2939,2.6030,0.7199,2.6030,2.9006,1.0000,1.7306,0.5757,0.3750,7.9940,0.0000,-0.0300,10.5000
Agent,64,303202,0,timeout,-0.9999,5000,-1,13.4268,10.8600,0.1912,10.8600,-5.1471,1.0000,1.8582,-5.2624,0.3750,-1.0088,0.0000,-0.0300,-10.5000
Agent,65,308202,0,timeout,-0.9999,5000,-1,7.6994,12.6605,-0.6443,12.6605,3.5728,1.0000,3.1991,6.8814,0.3750,12.1256,10.5000,-0.0300,0.0000
Agent,66,313202,0,timeout,-0.9999,5000,-1,16.1903,14.7836,0.0869,14.7836,3.8067,1.0000,-5.2026,-12.1254,0.3750,2.0524,0.0000,-0.0300,10.5000
Agent,67,318202,0,timeout,-0.9999,5000,-1,11.3088,9.2136,0.1853,9.2136,0.3475,1.0000,-3.0267,-1.8614,0.3750,-3.1781,-10.5000,-0.0300,0.0000
Agent,68,323202,0,timeout,-0.9999,5000,-1,7.5830,15.3398,-1.0229,15.3398,3.4571,1.0000,2.6151,-1.3333,0.3750,9.7528,10.5000,-0.0300,0.0000
Agent,69,328202,0,timeout,-0.9999,5000,-1,13.3331,17.6625,-0.3247,17.6625,-2.5899,1.0000,-2.3161,-6.6952,0.3750,-4.0157,10.5000,-0.0300,0.0000
Agent,70,333202,0,timeout,-0.9999,5000,-1,8.3323,10.9114,-0.3095,10.9114,-2.3567,1.0000,1.4327,-2.0292,0.3750,6.8660,-10.5000,-0.0300,0.0000
Agent,71,338202,0,timeout,-0.9999,5000,-1,15.6314,15.5710,0.0039,15.5710,-3.8266,1.0000,6.1667,-2.3833,0.3750,8.7358,10.5000,-0.0300,0.0000
Agent,72,343202,0,timeout,-0.9999,5000,-1,8.2889,10.0371,-0.2109,10.0371,-2.2789,1.0000,0.2425,-3.9230,0.3750,-7.5711,-10.5000,-0.0300,0.0000
Agent,73,348202,0,timeout,-0.9999,5000,-1,16.0100,15.9820,0.0017,15.9820,-5.0416,1.0000,3.7035,-5.0416,0.3750,3.7036,10.5000,-0.0300,0.0000
