agent_id,episode_id,training_step,success,end_reason,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,progress_rate,final_goal_error
Agent,15,1313,1,goal,15.4217,6.1945,0.5983,0.0044,6.1945
Agent,16,1546,1,goal,15.1546,11.8513,0.2180,0.0009,11.8513
Agent,17,1611,1,goal,7.6083,3.7661,0.5050,0.0078,3.7661
Agent,18,1687,1,goal,12.5087,6.2404,0.5011,0.0066,6.2404
Agent,19,1795,1,goal,16.0329,3.3971,0.7881,0.0073,3.3971
Agent,20,1860,1,goal,7.8404,4.5435,0.4205,0.0065,4.5435
Agent,21,1956,1,goal,16.6496,9.7521,0.4143,0.0043,9.7521
Agent,22,2058,1,goal,16.7349,4.6115,0.7244,0.0071,4.6115
Agent,23,2151,1,goal,10.9994,5.0356,0.5422,0.0058,5.0356
Agent,24,2266,1,goal,13.5535,11.1369,0.1783,0.0016,11.1369
Agent,25,2401,1,goal,7.2192,4.7233,0.3457,0.0026,4.7233
Agent,26,2630,1,goal,14.7495,10.8667,0.2633,0.0011,10.8667
Agent,27,2681,1,goal,13.3787,7.9137,0.4085,0.0080,7.9137
Agent,28,2826,1,goal,5.9669,2.6173,0.5614,0.0039,2.6173
Agent,29,3015,1,goal,12.2210,11.5011,0.0589,0.0003,11.5011
Agent,30,3120,1,goal,6.2914,4.5519,0.2765,0.0026,4.5519
Agent,1,141,1,goal,8.8846,5.4675,0.3846,0.0027,5.4675
Agent,2,252,1,goal,8.4715,3.0206,0.6434,0.0058,3.0206
Agent,3,339,1,goal,12.8482,11.6639,0.0922,0.0011,11.6639
Agent,4,442,1,goal,9.2378,6.7782,0.2663,0.0026,6.7782
Agent,5,535,1,goal,13.7637,4.5492,0.6695,0.0072,4.5492
Agent,6,663,1,goal,13.2497,6.1455,0.5362,0.0042,6.1455
Agent,7,702,1,goal,10.7274,2.4932,0.7676,0.0197,2.4932
Agent,8,822,1,goal,14.0629,9.1117,0.3521,0.0029,9.1117
Agent,9,941,1,goal,16.3330,9.8025,0.3998,0.0034,9.8025
Agent,10,1098,1,goal,16.1628,5.6731,0.6490,0.0041,5.6731
Agent,11,1313,1,goal,16.3848,11.9019,0.2736,0.0013,11.9019
Agent,12,1361,1,goal,8.1179,4.5102,0.4444,0.0093,4.5102
Agent,13,1466,1,goal,12.1700,8.2575,0.3215,0.0031,8.2575
Agent,14,1519,1,goal,11.3852,3.2641,0.7133,0.0135,3.2641
Agent,15,1563,1,goal,10.8031,2.3879,0.7790,0.0177,2.3879
Agent,16,1661,1,goal,15.7631,7.2591,0.5395,0.0055,7.2591
Agent,17,1722,1,goal,10.4404,5.9078,0.4341,0.0071,5.9078
Agent,18,1878,1,goal,16.9117,10.3625,0.3873,0.0025,10.3625
Agent,19,1923,1,goal,6.7006,2.9919,0.5535,0.0123,2.9919
Agent,20,2018,1,goal,12.2141,6.2742,0.4863,0.0051,6.2742
Agent,21,2101,1,goal,6.2499,2.4874,0.6020,0.0073,2.4874
Agent,22,2243,1,goal,15.7166,4.8229,0.6931,0.0049,4.8229
Agent,23,2346,1,goal,16.0210,7.5275,0.5301,0.0051,7.5275
Agent,24,2395,1,goal,11.5814,2.5621,0.7788,0.0159,2.5621
Agent,25,2442,1,goal,9.1639,3.1064,0.6610,0.0141,3.1064
Agent,26,2482,1,goal,10.4507,4.3051,0.5881,0.0147,4.3051
Agent,27,2628,1,goal,11.9079,7.8353,0.3420,0.0023,7.8353
Agent,28,2760,1,goal,14.4271,8.6513,0.4003,0.0030,8.6513
Agent,29,2819,1,goal,8.7839,4.4516,0.4932,0.0084,4.4516
Agent,30,2939,1,goal,14.9436,5.1247,0.6571,0.0055,5.1247
Agent,31,3166,1,goal,10.9510,9.7613,0.1086,0.0005,9.7613
Agent,32,3258,1,goal,9.0069,2.6502,0.7058,0.0077,2.6502
Agent,33,3346,1,goal,8.1934,5.5261,0.3255,0.0037,5.5261
Agent,34,3458,1,goal,15.3819,4.2338,0.7248,0.0065,4.2338
Agent,35,3555,1,goal,14.0794,5.8906,0.5816,0.0060,5.8906
Agent,36,3634,1,goal,9.5988,2.5636,0.7329,0.0093,2.5636
Agent,37,3719,1,goal,15.2260,10.1542,0.3331,0.0039,10.1542
Agent,38,3795,1,goal,5.8471,3.4711,0.4064,0.0053,3.4711
Agent,39,3888,1,goal,14.0541,3.2726,0.7671,0.0082,3.2726
Agent,40,4044,1,goal,13.9732,11.6914,0.1633,0.0010,11.6914
Agent,41,4120,1,goal,11.9642,9.7745,0.1830,0.0024,9.7745
Agent,42,4237,1,goal,14.5321,11.2427,0.2264,0.0019,11.2427
Agent,43,4406,1,goal,13.8411,6.6530,0.5193,0.0031,6.6530
Agent,44,4616,1,goal,16.1652,6.7237,0.5841,0.0028,6.7237
Agent,45,4665,1,goal,12.1225,4.4809,0.6304,0.0129,4.4809
Agent,46,4737,1,goal,7.0312,5.1791,0.2634,0.0037,5.1791
Agent,47,4845,1,goal,14.3163,2.7619,0.8071,0.0075,2.7619
Agent,48,4939,1,goal,8.6268,4.1760,0.5159,0.0055,4.1760
Agent,49,5033,1,goal,13.9016,4.1056,0.7047,0.0075,4.1056
Agent,50,5147,1,goal,7.2410,5.5231,0.2372,0.0021,5.5231
Agent,1,178,1,goal,14.6334,12.3779,0.1541,0.0009,12.3779
Agent,2,274,1,goal,7.8513,7.9065,-0.0070,-0.0001,7.9065
Agent,3,319,1,goal,7.6311,3.4988,0.5415,0.0120,3.4988
Agent,4,406,1,goal,15.0871,5.4994,0.6355,0.0073,5.4994
Agent,5,482,1,goal,9.2025,5.8834,0.3607,0.0047,5.8834
Agent,6,624,1,goal,11.2598,6.6834,0.4064,0.0029,6.6834
Agent,7,716,1,goal,16.1672,4.4463,0.7250,0.0079,4.4463
Agent,8,904,1,goal,8.1866,2.8014,0.6578,0.0035,2.8014
Agent,9,1014,1,goal,8.2854,3.9240,0.5264,0.0048,3.9240
Agent,10,1116,1,goal,15.1570,5.4098,0.6431,0.0063,5.4098
Agent,11,1201,1,goal,16.0803,7.3992,0.5399,0.0064,7.3992
Agent,12,1340,1,goal,17.3137,9.0877,0.4751,0.0034,9.0877
Agent,13,1400,1,goal,11.9036,4.8819,0.5899,0.0098,4.8819
Agent,14,1514,1,goal,15.4132,2.5509,0.8345,0.0073,2.5509
Agent,15,1618,1,goal,15.5558,11.2125,0.2792,0.0027,11.2125
Agent,16,1752,1,goal,7.1821,3.4167,0.5243,0.0039,3.4167
Agent,17,1821,1,goal,9.1069,5.8183,0.3611,0.0052,5.8183
Agent,18,2094,1,goal,7.2566,4.1774,0.4243,0.0016,4.1774
Agent,19,2127,1,goal,5.6371,2.6740,0.5257,0.0159,2.6740
Agent,20,2476,1,goal,13.6069,10.6946,0.2140,0.0006,10.6946
Agent,21,2531,1,goal,11.6912,6.6028,0.4352,0.0079,6.6028
Agent,22,2666,1,goal,13.4611,2.8009,0.7919,0.0059,2.8009
Agent,23,2742,1,goal,11.6103,7.7468,0.3328,0.0044,7.7468
Agent,24,2879,1,goal,10.2408,4.6701,0.5440,0.0040,4.6701
Agent,25,3000,1,goal,17.5173,9.5478,0.4549,0.0038,9.5478
Agent,26,3066,1,goal,9.1791,5.7077,0.3782,0.0057,5.7077
Agent,27,3128,1,goal,10.3963,2.6918,0.7411,0.0120,2.6918
Agent,28,3169,1,goal,10.8556,2.5799,0.7623,0.0186,2.5799
Agent,29,3230,1,goal,11.7192,4.6619,0.6022,0.0099,4.6619
Agent,30,3309,1,goal,7.9293,4.9404,0.3769,0.0048,4.9404
Agent,31,3428,1,goal,12.5852,8.0251,0.3623,0.0030,8.0251
Agent,32,4570,1,goal,15.5999,11.9259,0.2355,0.0002,11.9259
Agent,33,4674,1,goal,12.0677,5.7123,0.5266,0.0051,5.7123
Agent,34,4758,1,goal,14.2917,8.1956,0.4266,0.0051,8.1956
Agent,35,4869,1,goal,12.3444,6.5814,0.4669,0.0042,6.5814
Agent,36,4903,1,goal,9.0894,7.4071,0.1851,0.0054,7.4071
Agent,37,5056,1,goal,8.2272,6.6325,0.1938,0.0013,6.6325
Agent,38,5184,1,goal,14.3995,12.3856,0.1399,0.0011,12.3856
Agent,39,5270,1,goal,11.5834,8.3152,0.2821,0.0033,8.3152
Agent,40,5324,1,goal,10.2751,3.0829,0.7000,0.0130,3.0829
Agent,41,5358,1,goal,7.4460,2.8683,0.6148,0.0181,2.8683
Agent,42,5464,1,goal,10.6205,4.6465,0.5625,0.0053,4.6465
Agent,43,5555,1,goal,15.5999,7.4597,0.5218,0.0057,7.4597
Agent,44,5656,1,goal,12.4833,3.4802,0.7212,0.0071,3.4802
Agent,45,5760,1,goal,16.0772,10.0391,0.3756,0.0036,10.0391
Agent,46,5803,1,goal,6.6984,3.6867,0.4496,0.0105,3.6867
Agent,47,6048,1,goal,13.5757,11.6124,0.1446,0.0006,11.6124
Agent,48,6085,1,goal,8.3016,4.4287,0.4665,0.0126,4.4287
Agent,49,6134,1,goal,11.5347,6.8322,0.4077,0.0083,6.8322
Agent,50,6409,1,goal,13.0511,10.3384,0.2078,0.0008,10.3384
Agent,51,6487,1,goal,12.6009,3.1350,0.7512,0.0096,3.1350
Agent,52,6596,1,goal,7.9183,6.4610,0.1840,0.0017,6.4610
Agent,53,6830,1,goal,16.3261,7.3722,0.5484,0.0023,7.3722
Agent,54,6933,1,goal,14.2917,2.3866,0.8330,0.0081,2.3866
Agent,55,6993,1,goal,8.0630,4.8354,0.4003,0.0067,4.8354
Agent,56,7061,1,goal,9.2944,2.8209,0.6965,0.0102,2.8209
Agent,57,7120,1,goal,12.2011,6.4817,0.4688,0.0079,6.4817
Agent,58,7228,1,goal,9.0193,7.3337,0.1869,0.0017,7.3337
Agent,59,7286,1,goal,12.6761,3.7516,0.7040,0.0121,3.7516
Agent,60,7316,1,goal,6.7150,3.4035,0.4931,0.0164,3.4035
Agent,61,7382,1,goal,15.1677,5.1439,0.6609,0.0100,5.1439
Agent,62,7509,1,goal,15.1445,10.2896,0.3206,0.0025,10.2896
Agent,63,7607,1,goal,10.9266,12.1311,-0.1102,-0.0011,12.1311
Agent,64,7805,1,goal,11.2394,5.9028,0.4748,0.0024,5.9028
Agent,65,8108,1,goal,16.7372,5.9719,0.6432,0.0021,5.9719
Agent,66,8154,1,goal,8.4173,3.0847,0.6335,0.0138,3.0847
Agent,67,8306,1,goal,7.2885,2.7724,0.6196,0.0041,2.7724
Agent,68,8501,1,goal,14.2704,12.3936,0.1315,0.0007,12.3936
Agent,69,8566,1,goal,6.2789,3.9482,0.3712,0.0057,3.9482
Agent,70,8680,1,goal,6.7210,5.2092,0.2249,0.0020,5.2092
Agent,71,8734,1,goal,11.0452,7.4541,0.3251,0.0060,7.4541
Agent,72,8825,1,goal,6.5003,5.1335,0.2103,0.0023,5.1335
Agent,73,8924,1,goal,12.2731,8.3945,0.3160,0.0032,8.3945
Agent,74,8966,1,goal,10.7081,4.0167,0.6249,0.0149,4.0167
Agent,75,9056,1,goal,12.0146,6.5285,0.4566,0.0051,6.5285
Agent,76,9262,1,goal,15.2321,10.1897,0.3310,0.0016,10.1897
Agent,77,9346,1,goal,8.6094,3.6155,0.5800,0.0069,3.6155
Agent,78,9495,1,goal,11.4736,8.9064,0.2237,0.0015,8.9064
Agent,79,9615,1,goal,8.2744,5.2710,0.3630,0.0030,5.2710
Agent,80,9671,1,goal,11.7349,6.7351,0.4261,0.0076,6.7351
Agent,81,12418,1,goal,15.1762,11.3111,0.2547,0.0001,11.3111
Agent,82,12487,1,goal,8.9333,10.4361,-0.1682,-0.0024,10.4361
Agent,83,12576,1,goal,12.7383,3.4546,0.7288,0.0082,3.4546
Agent,84,12697,1,goal,11.6783,12.0901,-0.0353,-0.0003,12.0901
Agent,85,12791,1,goal,10.1169,3.5412,0.6500,0.0069,3.5412
Agent,86,12855,1,goal,10.6518,3.0516,0.7135,0.0111,3.0516
Agent,87,12946,1,goal,11.6708,5.3524,0.5414,0.0059,5.3524
Agent,88,13148,1,goal,15.7955,10.8444,0.3134,0.0016,10.8444
Agent,89,13259,1,goal,12.4073,7.0239,0.4339,0.0039,7.0239
Agent,90,13356,1,goal,9.4161,2.5348,0.7308,0.0075,2.5348
Agent,91,13398,1,goal,8.0033,6.7715,0.1539,0.0037,6.7715
Agent,92,13471,1,goal,8.7251,4.5145,0.4826,0.0066,4.5145
Agent,93,13623,1,goal,8.4549,5.0213,0.4061,0.0027,5.0213
Agent,94,13674,1,goal,11.5269,5.6729,0.5079,0.0100,5.6729
Agent,95,13717,1,goal,10.6330,3.5207,0.6689,0.0156,3.5207
Agent,96,13802,1,goal,15.1636,9.0429,0.4036,0.0047,9.0429
Agent,97,13938,1,goal,15.2941,3.4888,0.7719,0.0057,3.4888
Agent,98,14112,1,goal,16.3767,4.8688,0.7027,0.0040,4.8688
Agent,99,14158,1,goal,9.8962,2.7266,0.7245,0.0157,2.7266
Agent,100,14217,1,goal,11.9155,2.5861,0.7830,0.0133,2.5861
Agent,101,14267,1,goal,7.7736,5.3049,0.3176,0.0064,5.3049
Agent,102,14391,1,goal,10.5392,9.1625,0.1306,0.0011,9.1625
Agent,103,14491,1,goal,8.7773,2.5709,0.7071,0.0071,2.5709
Agent,104,14547,1,goal,7.5106,2.8899,0.6152,0.0110,2.8899
Agent,105,14599,1,goal,10.0248,2.5557,0.7451,0.0143,2.5557
Agent,106,14685,1,goal,13.5460,4.5766,0.6621,0.0077,4.5766
Agent,107,14801,1,goal,13.6040,6.7184,0.5061,0.0044,6.7184
Agent,108,14940,1,goal,16.2751,12.3897,0.2387,0.0017,12.3897
Agent,109,15120,1,goal,16.2414,10.1949,0.3723,0.0021,10.1949
Agent,110,15275,1,goal,11.5581,8.4565,0.2684,0.0017,8.4565
Agent,111,15339,1,goal,10.0888,5.8182,0.4233,0.0066,5.8182
Agent,112,15419,1,goal,8.9945,3.8065,0.5768,0.0072,3.8065
Agent,113,15534,1,goal,8.4000,9.4087,-0.1201,-0.0010,9.4087
Agent,114,15620,1,goal,10.9976,6.8553,0.3767,0.0044,6.8553
