Wall time,Step,Value
1778209889.813979,60000,999.0
1778210432.3969574,120000,999.0
1778210995.4460218,180000,979.5737915039062
1778211543.0283499,240000,875.63232421875
1778212092.2389364,300000,521.9478149414062
1778212627.050364,360000,264.3097229003906
1778213189.117514,420000,208.4808349609375
1778213730.8698833,480000,214.96043395996094
